Polling Firm,Fieldwork Start,Fieldwork End,Period Estimated,Scope,Variant,Sample Size,Participation Rate,Participation,Precision,ANO,ODS,Piráti,SPD,Stačilo!,KSČM,SOCDEM,KDU-ČSL,TOP 09,STAN,Svobodní,Zelení,Úsvit,Trikolóra,STAN-TOP,ČSL-STAN,SPOLU,Pir-STAN,TSS,Přísaha,AUTO,Přísaha+AUTO,VB,PRO,DSSS,SPOZ,VV,US-DEU,Koalice,DEU,SPR-RSC,NEZ,SNK-ED,SŽJ,ODA,LB,HSMS-MNS,ODS+KDS,LB+KSČM,LSU,ZS,ČSS,OH,KDS,Other,Source
STEM,2008-04-01,2008-04-08,FALSE,National,,1341,,1136,0.1,,0.276,,,,0.133,0.368,0.065,,,,0.109,,,,,,,,,,,,,,,,,,,,,0.006,,,,,,,,,,,,0.043,https://www.stem.cz/wp-content/uploads/2015/12/1500_1036.pdf
Median,2008-03-02,2008-04-01,FALSE,National,,1020,0.603,,0.1,,0.298,,,,0.132,0.369,0.061,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059,https://www.median.eu/cs/wp-content/uploads/docs/preference_2008_03.pdf
CVVM,2008-03-03,2008-03-10,FALSE,National,,983,0.62,685,0.5,,0.32,,,,0.13,0.36,0.07,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a899/f9/100765s_pv80321.pdf
STEM,2008-03-01,2008-03-07,FALSE,National,,1320,,1113,0.1,,0.287,,,,0.127,0.359,0.063,,,,0.106,,,,,,,,,,,,,,,,,,,,,0.004,,,,,,,,,,,,0.055,https://www.stem.cz/wp-content/uploads/2015/12/1478_1025.pdf
Median,2008-02-02,2008-03-01,FALSE,National,,1063,0.599,,0.1,,0.303,,,,0.149,0.339,0.068,,,,0.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054,https://www.median.eu/cs/wp-content/uploads/docs/preference_2008_02.pdf
CVVM,2008-02-04,2008-02-11,FALSE,National,,1018,0.65,761,0.5,,0.27,,,,0.16,0.365,0.085,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a891/f9/100757s_pv80221.pdf
STEM,2008-01-29,2008-02-07,FALSE,National,,1423,,1249,0.1,,0.304,,,,0.121,0.354,0.08,,,,0.107,,,,,,,,,,,,,,,,,,,,,0.008,,,,,,,,,,,,0.026,https://www.stem.cz/wp-content/uploads/2015/12/1440_1006.pdf
Median,2008-01-02,2008-02-01,FALSE,National,,1160,0.62,,0.1,,0.292,,,,0.126,0.357,0.059,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.085,https://www.median.eu/cs/wp-content/uploads/docs/preference_2008_01.pdf
CVVM,2008-01-14,2008-01-21,FALSE,National,,990,0.64,693,0.5,,0.27,,,,0.165,0.37,0.075,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a885/f9/100751s_pv80131.pdf
STEM,2008-01-02,2008-01-08,FALSE,National,,1362,,1196,0.1,,0.277,,,,0.149,0.353,0.068,,,,0.093,,,,,,,,,,,,,,,,,,,,,0.006,,,,,,,,,,,,0.054,https://www.stem.cz/wp-content/uploads/2015/12/1406_991.pdf
Median,2007-11-27,2007-12-16,FALSE,National,,1087,0.539,,0.1,,0.282,,,,0.166,0.37,0.069,,,,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054,https://www.median.eu/cs/wp-content/uploads/docs/preference_2007_12.pdf
CVVM,2007-12-03,2007-12-10,FALSE,National,,1012,0.63,722,0.5,,0.28,,,,0.165,0.35,0.065,,,,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a870/f9/100736s_pv71219.pdf
STEM,2007-12-03,2007-12-10,FALSE,National,,1326,,1162,0.1,,0.28,,,,0.135,0.38,0.071,,,,0.099,,,,,,,,,,,,,,,,,,,,,0.003,,,,,,,,,,,,0.032,https://www.stem.cz/wp-content/uploads/2015/12/1410_993.pdf
Median,2007-11-02,2007-12-01,FALSE,National,,1242,0.562,,0.1,,0.314,,,,0.142,0.353,0.076,,,,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,https://www.median.eu/cs/wp-content/uploads/docs/preference_2007_11.pdf
CVVM,2007-11-05,2007-11-12,FALSE,National,,997,0.61,666,0.5,,0.29,,,,0.16,0.36,0.055,,,,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a864/f9/100730s_pv71122.pdf
STEM,2007-11-01,2007-11-07,FALSE,National,,1281,,1121,0.1,,0.314,,,,0.138,0.307,0.065,,,,0.107,,,,,,,,,,,,,,,,,,,,,0.011,,,,,,,,,,,,0.056,https://www.stem.cz/wp-content/uploads/2015/12/1397_987.pdf
Median,2007-10-02,2007-11-01,FALSE,National,,1320,0.594,,0.1,,0.286,,,,0.151,0.361,0.06,,,,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,https://www.median.eu/cs/wp-content/uploads/docs/preference_2007_10.pdf
CVVM,2007-10-01,2007-10-08,FALSE,National,,990,0.64,729,0.5,,0.3,,,,0.15,0.36,0.08,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a851/f9/100716s_pv71019.pdf
STEM,2007-10-01,2007-10-08,FALSE,National,,1280,,1117,0.1,,0.297,,,,0.129,0.349,0.076,,,,0.101,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.038,https://www.stem.cz/wp-content/uploads/2015/12/1379_978.pdf
Median,2007-09-02,2007-10-01,FALSE,National,,1185,0.617,,0.1,,0.341,,,,0.123,0.304,0.073,,,,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.094,https://www.median.eu/cs/wp-content/uploads/docs/preference_2007_09.pdf
CVVM,2007-09-03,2007-09-10,FALSE,National,,1066,0.59,737,0.5,,0.31,,,,0.145,0.33,0.09,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a847/f9/100712s_pv70919.pdf
STEM,2007-09-01,2007-09-10,FALSE,National,,1417,,1233,0.1,,0.31,,,,0.14,0.33,0.084,,,,0.105,,,,,,,,,,,,,,,,,,,,,0.006,,,,,,,,,,,,0.025,https://www.stem.cz/wp-content/uploads/2015/12/1369_973.pdf
Median,2007-08-02,2007-09-01,FALSE,National,,1136,0.596,,0.1,,0.352,,,,0.126,0.317,0.061,,,,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078,https://www.median.eu/cs/wp-content/uploads/docs/preference_2007_08.pdf
Median,2007-07-02,2007-08-01,FALSE,National,,1028,0.609,,0.1,,0.337,,,,0.137,0.333,0.062,,,,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066,https://www.median.eu/cs/wp-content/uploads/docs/preference_2007_07.pdf
Median,2007-06-02,2007-07-01,FALSE,National,,1214,0.598,,0.1,,0.334,,,,0.127,0.348,0.052,,,,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,https://www.median.eu/cs/wp-content/uploads/docs/preference_2007_06.pdf
CVVM,2007-06-04,2007-06-11,FALSE,National,,959,0.64,702,0.5,,0.32,,,,0.145,0.32,0.08,,,,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a835/f9/100700s_pv70620.pdf
STEM,2007-07-01,2007-07-08,FALSE,National,,1213,,1063,0.1,,0.334,,,,0.143,0.308,0.067,,,,0.113,,,,,,,,,,,,,,,,,,,,,0.007,,,,,,,,,,,,0.027,https://www.stem.cz/wp-content/uploads/2015/12/1347_962.pdf
Median,2007-05-02,2007-06-01,FALSE,National,,1091,0.576,,0.1,,0.361,,,,0.152,0.311,0.047,,,,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,https://www.median.eu/cs/wp-content/uploads/docs/preference_2007_05.pdf
CVVM,2007-05-07,2007-05-14,FALSE,National,,1079,0.63,773,0.5,,0.35,,,,0.155,0.29,0.095,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1014/f9/100688s_pv70523.pdf
STEM,2007-05-02,2007-05-10,FALSE,National,,1219,,1082,0.1,,0.322,,,,0.142,0.311,0.074,,,,0.104,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.037,https://www.stem.cz/wp-content/uploads/2015/12/1317_946.pdf
Median,2007-04-02,2007-05-01,FALSE,National,,989,0.558,,0.1,,0.335,,,,0.132,0.323,0.081,,,,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061,https://www.median.eu/cs/wp-content/uploads/docs/preference_2007_04.pdf
STEM,2007-04-02,2007-04-10,FALSE,National,,1191,,1050,0.1,,0.331,,,,0.124,0.282,0.075,,,,0.132,,,,,,,,,,,,,,,,,,,,,0.008,,,,,,,,,,,,0.049,https://www.stem.cz/wp-content/uploads/2015/12/1286_931.pdf
CVVM,2007-04-02,2007-04-09,FALSE,National,,971,0.6,672,0.5,,0.35,,,,0.14,0.29,0.08,,,,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1003/f9/100677s_pv70418.pdf
Median,2007-03-02,2007-04-01,FALSE,National,,1551,0.555,,0.1,,0.366,,,,0.126,0.303,0.056,,,,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071,https://www.median.eu/cs/wp-content/uploads/docs/preference_2007_03.pdf
CVVM,2007-03-05,2007-03-12,FALSE,National,,987,0.6,682,0.5,,0.345,,,,0.15,0.29,0.09,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a995/f9/100669s_pv70321.pdf
STEM,2007-03-01,2007-03-06,FALSE,National,,1272,,1118,0.1,,0.36,,,,0.123,0.267,0.079,,,,0.125,,,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,0.042,https://www.stem.cz/wp-content/uploads/2015/12/1252_914.pdf
Median,2007-02-02,2007-03-01,FALSE,National,,1025,0.567,,0.1,,0.405,,,,0.126,0.254,0.074,,,,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059,https://www.median.eu/cs/wp-content/uploads/docs/preference_2007_02.pdf
CVVM,2007-02-05,2007-02-12,FALSE,National,,1032,0.62,730,0.5,,0.345,,,,0.155,0.26,0.08,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a981/f9/100655s_pv70221.pdf
STEM,2007-02-01,2007-02-08,FALSE,National,,1222,,1074,0.1,,0.356,,,,0.144,0.266,0.086,,,,0.117,,,,,,,,,,,,,,,,,,,,,0.008,,,,,,,,,,,,0.022,https://www.stem.cz/wp-content/uploads/2015/12/1221_899.pdf
Median,2007-01-02,2007-02-01,FALSE,National,,864,0.586,,0.1,,0.36,,,,0.139,0.288,0.06,,,,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,https://www.median.eu/cs/wp-content/uploads/docs/preference_2007_01.pdf
CVVM,2007-01-15,2007-01-22,FALSE,National,,1013,0.62,727,0.5,,0.37,,,,0.16,0.245,0.08,,,,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a974/f9/100648s_pv70201.pdf
STEM,2006-12-27,2007-01-05,FALSE,National,,1272,,1126,0.1,,0.365,,,,0.14,0.236,0.085,,,,0.125,,,,,,,,,,,,,,,,,,,,,0.019,,,,,,,,,,,,0.029,https://www.stem.cz/wp-content/uploads/2015/12/1190_883.pdf
Median,2006-12-02,2006-12-17,FALSE,National,,742,0.541,,0.1,,0.404,,,,0.114,0.282,0.067,,,,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052,https://www.median.eu/cs/wp-content/uploads/docs/preference_2006_12.pdf
CVVM,2006-12-04,2006-12-11,FALSE,National,,1025,0.58,745,0.5,,0.38,,,,0.115,0.235,0.11,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a957/f9/100631s_pv61220.pdf
STEM,2006-12-01,2006-12-08,FALSE,National,,1263,,1118,0.1,,0.372,,,,0.148,0.233,0.079,,,,0.127,,,,,,,,,,,,,,,,,,,,,0.016,,,,,,,,,,,,0.026,https://www.stem.cz/wp-content/uploads/2015/12/1180_878.pdf
Median,2006-11-02,2006-12-01,FALSE,National,,1126,0.572,,0.1,,0.397,,,,0.137,0.265,0.056,,,,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,https://www.median.eu/cs/wp-content/uploads/docs/preference_2006_11.pdf
CVVM,2006-11-06,2006-11-13,FALSE,National,,992,0.59,717,0.5,,0.41,,,,0.11,0.26,0.07,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a947/f9/100621s_pv61123.pdf
STEM,2006-11-01,2006-11-08,FALSE,National,,1554,,1394,0.1,,0.391,,,,0.122,0.231,0.084,,,,0.105,,,,,,,,,,,,,,,,,,,,,0.017,,,,,,,,,,,,0.051,https://www.stem.cz/wp-content/uploads/2015/12/1167_872.pdf
Median,2006-10-02,2006-11-01,FALSE,National,,1345,0.634,,0.1,,0.381,,,,0.13,0.289,0.058,,,,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,https://www.median.eu/cs/wp-content/uploads/docs/preference_2006_10.pdf
CVVM,2006-10-02,2006-10-09,FALSE,National,,898,0.66,,0.5,,0.36,,,,0.15,0.305,0.06,,,,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a932/f9/100606s_pv61023.pdf
STEM,2006-09-30,2006-10-06,FALSE,National,,1600,,1398,0.1,,0.366,,,,0.134,0.26,0.072,,,,0.12,,,,,,,,,,,,,,,,,,,,,0.015,,,,,,,,,,,,0.033,https://www.stem.cz/wp-content/uploads/2015/12/1149_864.pdf
Median,2006-09-02,2006-10-01,FALSE,National,,1484,0.611,,0.1,,0.391,,,,0.13,0.294,0.061,,,,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047,https://www.median.eu/cs/wp-content/uploads/docs/preference_2006_09.pdf
CVVM,2006-09-04,2006-09-11,FALSE,National,,887,0.67,,0.5,,0.37,,,,0.13,0.295,0.08,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a922/f9/100596s_pv60922.pdf
STEM,2006-09-01,2006-09-08,FALSE,National,,1546,,1336,0.1,,0.38,,,,0.116,0.308,0.049,,,,0.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,https://www.stem.cz/wp-content/uploads/2015/12/1135_856.pdf
Median,2006-08-02,2006-09-01,FALSE,National,,1159,0.506,,0.1,,0.375,,,,0.132,0.298,0.054,,,,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063,https://www.median.eu/cs/wp-content/uploads/docs/preference_2006_08.pdf
Median,2006-07-02,2006-08-01,FALSE,National,,895,0.58,,0.1,,0.418,,,,0.114,0.298,0.052,,,,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056,https://www.median.eu/cs/wp-content/uploads/docs/preference_2006_07.pdf
ELECTION,2006-06-02,2006-06-03,FALSE,National,,8333305,0.6447,5348976,0.01,,0.3538,,,,0.1281,0.3232,0.0722,,,,0.0629,,,,,,,,,,,,,,,,0.003,,,,0.0061,0.0208,,,,,,,,,,,,,
STEM,2006-05-02,2006-05-09,FALSE,National,,1638,0.54,1315,0.1,,0.333,,,,0.162,0.314,0.067,,,,0.088,,,,,,,,,,,,,,,,0.004,,,,0.005,0.011,,,,,,,,,,,,0.016,https://www.stem.cz/wp-content/uploads/2015/12/1081_828.pdf
CVVM,2006-05-01,2006-05-08,FALSE,National,,835,0.69,652,0.5,,0.32,,,,0.155,0.28,0.055,,,,0.105,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1046/f9/100583s_pv60519.pdf
CVVM,2006-04-03,2006-04-10,FALSE,National,,961,0.68,817,0.5,,0.315,,,,0.155,0.27,0.115,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1037/f9/100574s_pv60420.pdf
STEM,2006-04-01,2006-04-10,FALSE,National,,1690,0.54,1345,0.1,,0.337,,,,0.167,0.268,0.062,,,,0.133,,,,,,,,,,,,,,,,0.006,,,,0.006,0.014,,,,,,,,,,,,0.008,https://www.stem.cz/wp-content/uploads/2015/12/1075_825.pdf
CVVM,2006-03-06,2006-03-13,FALSE,National,,970,0.66,768,0.5,,0.325,,,,0.16,0.265,0.08,,,,0.13,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1028/f9/100565s_pv60324.pdf
STEM,2006-03-01,2006-03-08,FALSE,National,,1699,0.53,1344,0.1,,0.338,,,,0.157,0.276,0.077,,,,0.119,,,,,,,,,,,,,,,,0.004,,,,0.013,0.009,,,,,,,,,,,,0.009,https://www.stem.cz/wp-content/uploads/2015/12/1062_815.pdf
CVVM,2006-02-13,2006-02-20,FALSE,National,,972,0.67,800,0.5,,0.36,,,,0.145,0.29,0.1,,,,0.08,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1024/f9/100561s_pv60301.pdf
STEM,2006-02-01,2006-02-08,FALSE,National,,1716,0.59,1448,0.1,,0.339,,,,0.181,0.29,0.076,,,,0.066,,,,,,,,,,,,,,,,0.004,,,,0.012,0.006,,,,,,,,,,,,0.026,https://www.stem.cz/wp-content/uploads/2015/12/1056_812.pdf
CVVM,2006-01-16,2006-01-23,FALSE,National,,969,0.68,800,0.5,,0.36,,,,0.145,0.35,0.08,,,,0.03,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1048/f9/100557s_pv60202.pdf
STEM,2006-01-02,2006-01-09,FALSE,National,,1646,0.55,1383,0.1,,0.34,,,,0.157,0.324,0.08,,,,0.04,,,,,,,,,,,,,,,,0.006,,,,0.01,0.012,,,,,,,,,,,,0.031,https://www.stem.cz/wp-content/uploads/2015/12/1049_809.pdf
CVVM,2005-12-05,2005-12-12,FALSE,National,,987,0.64,800,0.5,,0.37,,,,0.16,0.305,0.1,,,,0.035,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1084/f9/100543s_pv51222.pdf
STEM,2005-12-01,2005-12-08,FALSE,National,,1505,0.51,1299,0.1,,0.359,,,,0.165,0.3,0.076,,,,0.036,,,,,,,,,,,,,,,,0.012,,,,0.01,0.008,,,,,,,,,,,,0.034,https://www.stem.cz/wp-content/uploads/2015/12/1036_804.pdf
CVVM,2005-11-07,2005-11-14,FALSE,National,,972,0.62,759,0.5,,0.335,,,,0.165,0.315,0.1,,,,0.045,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1075/f9/100534s_pv51201.pdf
STEM,2005-11-01,2005-11-07,FALSE,National,,1506,0.55,1256,0.1,,0.366,,,,0.163,0.307,0.076,,,,0.03,,,,,,,,,,,,,,,,0.008,,,,0.014,0.012,,,,,,,,,,,,0.024,https://www.stem.cz/wp-content/uploads/2015/12/1016_794.pdf
CVVM,2005-10-10,2005-10-17,FALSE,National,,988,0.62,792,0.5,,0.37,,,,0.185,0.285,0.095,,,,0.03,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1062/f9/100521s_pv51101.pdf
STEM,2005-10-01,2005-10-07,FALSE,National,,1540,0.72,1366,0.1,,0.364,,,,0.175,0.276,0.095,,,,0.035,,,,,,,,,,,,,,,,0.014,,,,0.014,0.007,,,,,,,,,,,,0.021,https://www.stem.cz/wp-content/uploads/2015/12/999_788.pdf
CVVM,2005-09-05,2005-09-12,FALSE,National,,988,0.62,723,0.5,,0.375,,,,0.16,0.295,0.08,,,,0.04,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1052/f9/100511s_pv50922.pdf
STEM,2005-09-01,2005-09-09,FALSE,National,,1669,0.61,1402,0.1,,0.39,,,,0.161,0.252,0.087,,,,0.035,,,,,,,,,,,,,,,,0.006,,,,0.019,0.014,,,,,,,,,,,,0.036,https://www.stem.cz/wp-content/uploads/2015/12/979_776.pdf
STEM,2005-07-03,2005-07-13,FALSE,National,,1672,0.5,1443,0.1,,0.367,,,,0.192,0.242,0.079,,,,0.037,,,,,,,,,,,,,,,,0.012,,,,0.016,0.019,,,,,,,,,,,,0.036,https://www.stem.cz/wp-content/uploads/2015/12/951_764.pdf
CVVM,2005-06-27,2005-07-04,FALSE,National,,967,0.62,723,0.5,,0.375,,,,0.18,0.24,0.105,,,,0.035,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1114/f9/100502s_pv50728.pdf
STEM,2005-06-01,2005-06-06,FALSE,National,,1651,0.47,1355,0.1,,0.387,,,,0.219,0.183,0.078,,,,0.039,,,,,,,,,,,,,,,,0.012,,,,0.028,0.019,,,,,,,,,,,,0.034,https://www.stem.cz/wp-content/uploads/2015/12/933_755.pdf
CVVM,2005-05-16,2005-05-23,FALSE,National,,987,0.6,733,0.5,,0.4,,,,0.19,0.21,0.095,,,,0.035,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1103/f9/100491s_pv50608.pdf
STEM,2005-05-01,2005-05-09,FALSE,National,,1715,0.49,1233,0.1,,0.409,,,,0.228,0.159,0.086,,,,0.039,,,,,,,,,,,,,,,,0.015,,,,0.018,0.018,,,,,,,,,,,,0.028,https://www.stem.cz/wp-content/uploads/2015/12/925_750.pdf
CVVM,2005-04-18,2005-04-25,FALSE,National,,959,0.61,721,0.5,,0.415,,,,0.22,0.14,0.115,,,,0.04,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a52/f9/100481s_pv50504.pdf
STEM,2005-04-04,2005-04-10,FALSE,National,,1668,0.6,1389,0.1,,0.403,,,,0.211,0.143,0.1,,,,0.041,,,,,,,,,,,,,,,,0.026,,,,0.02,0.019,,,,,,,,,,,,0.036,https://www.stem.cz/wp-content/uploads/2015/12/896_730.pdf
CVVM,2005-03-21,2005-03-28,FALSE,National,,962,0.61,761,0.5,,0.405,,,,0.2,0.19,0.105,,,,0.03,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a61/f9/100465s_pv50408.pdf
STEM,2005-03-01,2005-03-07,FALSE,National,,1684,0.638,1484,0.1,,0.403,,,,0.203,0.151,0.107,,,,0.027,,,,,,,,,,,,,,,,0.024,,,,0.023,0.017,,,,,,,,,,,,0.042,https://www.stem.cz/wp-content/uploads/2015/12/870_716.pdf
CVVM,2005-02-14,2005-02-21,FALSE,National,,990,0.6,726,0.5,,0.41,,,,0.2,0.195,0.11,,,,0.03,,,,,,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1236/f9/100449s_pv50304.pdf
STEM,2005-02-01,2005-02-07,FALSE,National,,1625,0.51,1359,0.1,,0.419,,,,0.19,0.167,0.1,,,,0.041,,,,,,,,,,,,,,,,0.008,,,,0.02,0.02,,,,,,,,,,,,0.033,https://www.stem.cz/wp-content/uploads/2015/12/852_700.pdf
CVVM,2005-01-17,2005-01-24,FALSE,National,,952,0.63,706,0.5,,0.41,,,,0.19,0.185,0.13,,,,0.025,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1231/f9/100444s_pv50211.pdf
STEM,2005-01-03,2005-01-10,FALSE,National,,1706,0.45,1433,0.1,,0.427,,,,0.202,0.165,0.107,,,,0.025,,,,,,,,,,,,,,,,0.014,,,,0.027,0.007,,,,,,,,,,,,0.024,https://www.stem.cz/wp-content/uploads/2015/12/809_671.pdf
STEM,2004-11-29,2004-12-07,FALSE,National,,1681,0.61,1437,0.1,,0.399,,,,0.188,0.182,0.095,,,,0.04,,,,,,,,,,,,,,,,0.014,,,,0.02,0.023,,,,,,,,,,,,0.038,https://www.stem.cz/wp-content/uploads/2015/12/804_667.pdf
CVVM,2004-11-29,2004-12-06,FALSE,National,,971,0.6,739,0.5,,0.43,,,,0.195,0.15,0.115,,,,0.035,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1221/f9/100425s_pv41215.pdf
CVVM,2004-11-08,2004-11-15,FALSE,National,,946,0.62,710,0.5,,0.43,,,,0.19,0.16,0.11,,,,0.035,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a1314/f9/100416s_pv41125.pdf
STEM,2004-11-08,2004-11-15,FALSE,National,,1685,0.6,1442,0.1,,0.395,,,,0.197,0.158,0.105,,,,0.039,,,,,,,,,,,,,,,,0.011,,,,0.016,0.027,,,,,,,,,,,,0.053,https://www.stem.cz/wp-content/uploads/2015/12/797_659.pdf
CVVM,2004-10-11,2004-10-18,FALSE,National,,955,0.61,710,0.5,,0.375,,,,0.19,0.25,0.105,,,,0.025,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a131/f9/100405s_pv41031.pdf
STEM,2004-10-03,2004-10-11,FALSE,National,,1671,0.61,1390,0.1,,0.339,,,,0.2,0.22,0.089,,,,0.041,,,,,,,,,,,,,,,,0.014,,,,0.013,0.024,,,,,,,,,,,,0.06,https://www.stem.cz/stranicke-preference-rijen-2004/
CVVM,2004-09-13,2004-09-20,FALSE,National,,946,0.6,664,0.5,,0.415,,,,0.185,0.195,0.1,,,,0.035,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a120/f9/100394s_pv40929.pdf
